Frame,FPS,Latency_ms,Objects
1,0.3,3819.8,0
2,12.2,81.8,0
3,13.7,73.2,0
4,13.4,74.6,0
5,13.1,76.5,0
6,12.8,77.9,0
7,12.7,79.0,0
8,12.1,82.6,0
9,13.0,76.7,0
10,13.5,74.0,0
11,11.9,83.7,0
12,12.9,77.3,0
13,13.2,75.6,0
14,13.0,76.8,0
15,13.3,75.3,0
16,12.8,78.2,0
17,13.0,76.9,0
18,13.4,74.5,0
19,13.1,76.1,0
20,13.4,74.8,0
21,13.4,74.8,0
22,13.9,71.9,0
23,13.0,76.7,0
24,12.0,83.3,1
25,13.4,74.5,1
26,13.0,76.7,1
27,12.8,78.3,1
28,12.9,77.4,1
29,13.6,73.4,1
30,13.0,76.7,1
31,12.5,79.7,1
32,12.9,77.7,0
33,12.6,79.4,0
34,13.6,73.6,0
35,12.5,79.9,1
36,6.7,149.5,1
37,13.1,76.3,0
38,13.6,73.4,0
39,13.2,75.7,0
40,13.5,74.0,0
41,12.6,79.4,0
42,13.2,75.8,4
43,13.4,74.7,0
44,12.9,77.8,1
45,12.9,77.4,1
46,12.8,78.4,1
47,13.8,72.5,0
48,14.1,71.1,0
49,13.3,75.4,0
50,14.6,68.3,0
51,12.7,78.8,0
52,14.3,70.1,0
53,12.8,78.2,0
54,15.1,66.2,0
55,11.4,87.7,0
56,13.3,74.9,0
57,12.7,78.8,0
58,13.3,75.3,0
59,13.4,74.5,1
60,13.6,73.6,0
61,13.0,76.9,0
62,13.7,73.2,0
63,13.0,76.8,0
64,13.7,73.1,0
65,11.6,86.2,0
66,13.3,75.0,0
67,13.0,77.0,0
68,13.3,75.4,0
69,12.9,77.3,0
70,13.2,75.5,0
71,11.4,88.1,0
72,13.7,72.8,0
73,13.1,76.5,1
74,13.4,74.7,0
75,13.8,72.7,1
76,13.0,76.8,1
77,12.9,77.3,1
78,13.4,74.9,1
79,12.9,77.3,1
80,14.2,70.5,0
81,13.6,73.3,0
82,12.6,79.2,0
83,13.2,75.9,1
84,14.0,71.7,2
85,14.5,68.8,0
86,12.1,82.8,0
87,13.1,76.2,0
88,14.2,70.3,1
89,13.1,76.3,1
90,13.8,72.3,1
91,12.4,80.7,1
92,12.9,77.5,0
93,13.3,75.1,0
94,14.1,70.7,0
95,13.7,73.0,0
96,12.8,77.9,0
97,13.5,74.3,0
98,12.9,77.3,5
99,13.5,74.3,3
100,12.6,79.6,1
101,12.9,77.2,0
102,13.0,76.8,0
103,13.3,75.0,0
104,14.2,70.5,0
105,12.9,77.7,0
106,12.8,77.9,0
107,11.1,90.4,0
108,12.9,77.7,0
109,14.0,71.7,0
110,13.5,74.2,0
111,14.0,71.5,0
112,13.6,73.6,0
113,10.0,100.1,0
114,13.7,72.8,0
115,14.1,71.0,0
116,14.5,69.0,0
117,13.6,73.8,0
118,14.0,71.5,0
119,13.5,74.1,0
120,13.7,73.1,0
121,13.3,75.1,0
122,13.0,76.7,0
123,14.1,70.7,0
124,14.0,71.3,0
125,12.8,78.4,0
126,13.4,74.9,0
127,12.9,77.3,0
128,10.6,94.1,0
129,13.7,72.9,0
130,12.9,77.6,1
131,14.3,69.8,1
132,14.2,70.5,1
133,13.9,72.1,1
134,14.0,71.3,0
135,13.7,72.9,0
136,14.2,70.2,0
137,12.5,79.7,1
138,13.1,76.2,1
139,13.4,74.6,0
140,13.2,75.9,0
141,12.6,79.2,0
142,15.0,66.8,0
143,14.5,68.8,0
144,13.6,73.7,0
145,13.0,76.9,0
146,13.6,73.5,0
147,13.7,73.2,0
148,14.3,69.9,0
149,14.0,71.6,0
150,13.4,74.8,0
151,14.0,71.3,0
152,9.3,107.1,0
153,14.2,70.2,0
154,13.4,74.8,0
155,13.8,72.3,0
156,13.9,71.7,0
157,14.1,70.9,0
158,13.5,74.0,0
159,14.1,71.0,0
160,13.3,75.1,0
161,12.7,78.9,0
162,13.8,72.7,0
163,13.8,72.5,0
164,13.1,76.1,0
165,12.9,77.4,0
166,13.5,73.8,0
167,13.8,72.3,0
168,13.8,72.6,0
169,13.5,74.2,0
170,13.3,75.0,0
171,13.5,73.8,0
172,13.8,72.4,0
173,13.1,76.3,0
174,14.0,71.2,0
175,12.6,79.2,0
176,11.2,89.3,0
177,13.8,72.5,0
178,13.2,75.9,0
179,13.1,76.4,0
180,13.6,73.7,0
181,13.7,73.0,0
182,13.2,75.7,0
183,13.8,72.5,0
184,13.8,72.5,0
185,13.6,73.6,0
186,14.1,71.0,0
187,13.9,72.0,0
188,14.6,68.5,0
189,13.1,76.4,0
190,13.3,75.4,0
191,10.7,93.9,0
192,14.2,70.2,0
193,13.1,76.4,0
194,13.2,75.5,0
195,13.3,75.1,0
196,13.1,76.3,0
197,13.7,73.0,0
198,13.2,75.7,0
199,13.1,76.1,0
200,12.9,77.3,0
